,TimeStamp,interocularDistance,glasses,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk.1,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
0,0.0,104.5553,1.0,-21.4927,-3.5241,-6.7132,0.0018,0.0045,0.4298,0.0241,0.0045,0.1926,0.19399999999999998,-0.0662,0.0795,0.0,0.0116,0.0077,0.0227,0.0782,0.0047,0.0012,0.0192,0.0131,0.0154,0.013999999999999999,0.0004,0.0615,0.0,97.5759,0.0003,0.0024,0.0342,0.0126,0.0013,0.0843,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.002,2.2977,2.2977,0.0018,0.027999999999999997,0,0,1,1
1,0.04,103.666,1.0,-22.7158,-4.2662,-7.2948,0.0018,0.0046,0.4305,0.0241,0.0046,0.1923,0.1941,-0.1032,0.0798,0.0,0.0114,0.0086,0.0446,0.0868,0.0217,0.001,0.0358,0.0207,0.0505,0.0217,0.0003,0.06,0.0,97.199,0.0007,0.0022,0.0615,0.0236,0.0029,0.1782,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0021,2.2977,2.2977,0.0018,0.0281,0,0,1,1
2,0.08,103.7952,1.0,-23.2563,-4.6346,-7.9905,0.0018,0.0046,0.4303,0.0241,0.0046,0.1924,0.1943,-0.1007,0.0797,0.0,0.01,0.0093,0.0388,0.0838,0.0272,0.0009,0.0316,0.0283,0.0458,0.026000000000000002,0.0003,0.0707,0.0,96.9912,0.001,0.0025,0.0632,0.0197,0.0029,0.1589,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0022,2.2977,2.2977,0.0018,0.0281,0,0,1,1
3,0.12,103.7458,1.0,-23.6869,-3.8268,-8.1698,0.0018,0.0046,0.4303,0.0241,0.0046,0.1924,0.1944,-0.1035,0.0798,0.0,0.0105,0.01,0.0388,0.0856,0.0243,0.0007,0.0356,0.0215,0.0533,0.0269,0.0003,0.0767,0.0,97.4285,0.0012,0.0036,0.0714,0.024,0.0035,0.1758,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
4,0.16,104.4075,1.0,-22.8992,-3.8823,-7.2321,0.0018,0.0046,0.4303,0.0241,0.0046,0.1924,0.1943,-0.1045,0.0797,0.0,0.0105,0.0095,0.0403,0.0822,0.0342,0.0008,0.0335,0.0243,0.0446,0.0265,0.0003,0.0724,0.0,97.4006,0.0011,0.0021,0.0684,0.0235,0.0032,0.1706,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
5,0.2,103.4853,1.0,-23.3471,-3.3206,-7.7924,0.0018,0.0046,0.4305,0.0241,0.0046,0.1924,0.1943,-0.1003,0.0797,0.0,0.0106,0.0094,0.0365,0.0861,0.0294,0.0008,0.0289,0.0235,0.0436,0.0241,0.0003,0.0732,0.0,97.6704,0.0012,0.0026,0.0633,0.0226,0.003,0.1795,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
6,0.28,104.5468,1.0,-23.2615,-3.5197,-6.8955,0.0018,0.0046,0.4302,0.0241,0.0046,0.1924,0.1942,-0.0997,0.0797,0.0,0.0105,0.0094,0.0372,0.0817,0.0294,0.0006,0.0258,0.0224,0.0523,0.023,0.0003,0.0662,0.0,97.57799999999999,0.0012,0.0023,0.064,0.0201,0.0029,0.1641,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
7,0.36,102.9308,1.0,-24.1005,-3.4309,-7.5701,0.0018,0.0046,0.4304,0.0241,0.0046,0.1924,0.1942,-0.1046,0.0798,0.0,0.0104,0.0096,0.0365,0.0828,0.0332,0.0007,0.0275,0.0217,0.059000000000000004,0.0239,0.0003,0.067,0.0,97.6196,0.0013,0.0026,0.0655,0.0231,0.0031,0.1752,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
8,0.44,103.9174,1.0,-23.357,-4.6381,-8.043,0.0018,0.0046,0.4302,0.0241,0.0046,0.1924,0.1941,-0.1092,0.0798,0.0,0.011000000000000001,0.0094,0.0398,0.0777,0.0412,0.0007,0.028999999999999998,0.0214,0.0634,0.0236,0.0003,0.0639,0.0,96.9892,0.0012,0.002,0.0648,0.0216,0.0028,0.1687,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
9,0.52,104.0924,1.0,-23.5325,-3.6568,-7.296,0.0018,0.0046,0.4307,0.0241,0.0046,0.1923,0.1942,-0.1156,0.0798,0.0,0.0115,0.0096,0.0423,0.0867,0.0439,0.0007,0.0309,0.0237,0.0594,0.025,0.0003,0.0691,0.0,97.5123,0.0013,0.0022,0.0726,0.0235,0.0029,0.1759,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0023,2.2977,2.2977,0.0018,0.0281,0,0,1,1
10,0.56,103.7743,1.0,-23.2933,-3.2801,-7.6208,0.0018,0.0046,0.4308,0.0241,0.0046,0.1924,0.1942,-0.1097,0.0798,0.0,0.0116,0.01,0.0391,0.0892,0.0402,0.0007,0.0279,0.02,0.05,0.0228,0.0003,0.0691,0.0,97.6887,0.0012,0.0024,0.0698,0.0217,0.0028,0.1651,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0,0.0024,2.2977,2.2977,0.0018,0.0281,0,0,1,1
