TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
0,0,99.7841,no,unknown,unknown,unknown,Unknown,-30.5355,13.2477,9.4731,0.0018,0.0046,0.4577,0.024,0.0045,0.1936,0.197,-0.2988,0.0824,0,0.0002,0.0821,0.0002,0.5796,0.0076,0.0002,0,0.005,0.0141,0.0031,0.011,0.2087,89.7086,85.2011,0.0112,0.0005,0.0033,0.0062,0.0038,0.3474,0.0018,0.0017,0.0018,0.0018,0.0018,0.0045,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.04,0,100.2985,no,unknown,unknown,unknown,Unknown,-31.1133,13.2159,9.4248,0.0018,0.0046,0.4735,0.024,0.0045,0.1936,0.1974,-0.4337,0.084,0,0.0002,0.0831,0.0003,0.8518,0.0066,0.0002,0,0.0148,0.0129,0.0018,0.0115,0.2265,89.5742,85.2812,0.0123,0.0004,0.003,0.0077,0.0064,0.3747,0.0018,0.0017,0.0018,0.0018,0.0018,0.0045,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.08,0,101.0159,no,unknown,unknown,unknown,Unknown,-30.8262,13.36,9.9706,0.0018,0.0046,0.4774,0.0239,0.0044,0.194,0.1971,-0.466,0.0844,0,0.0001,0.1297,0.0002,0.9192,0.0058,0.0002,0,0.0149,0.0098,0.0015,0.0143,0.2118,93.9003,84.9156,0.0149,0.0003,0.0026,0.0057,0.0058,0.359,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.12,0,100.6603,no,unknown,unknown,unknown,Unknown,-31.3308,13.1022,9.4982,0.0018,0.0046,0.4759,0.0239,0.0044,0.1941,0.1975,-0.453,0.0843,0,0.0002,0.1347,0.0002,0.8924,0.0057,0.0002,0,0.0153,0.0112,0.0015,0.0147,0.2324,94.202,85.5643,0.0129,0.0004,0.0025,0.0063,0.0063,0.3421,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.16,0,102.3054,no,unknown,unknown,unknown,Unknown,-31.1283,13.1148,9.4415,0.0018,0.0046,0.4761,0.0239,0.0044,0.1943,0.1969,-0.4555,0.0843,0,0.0002,0.1589,0.0002,0.8973,0.0061,0.0002,0,0.014,0.0109,0.0012,0.0123,0.2031,90.684,85.5331,0.0122,0.0002,0.0022,0.0065,0.0056,0.3625,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.2,0,101.8304,no,unknown,unknown,unknown,Unknown,-31.5924,12.5249,9.3105,0.0018,0.0046,0.4717,0.0239,0.0044,0.1945,0.1966,-0.4171,0.0839,0,0.0002,0.1713,0.0001,0.8219,0.0059,0.0002,0,0.0184,0.0093,0.0012,0.0155,0.1895,90.3612,86.9327,0.01,0.0004,0.002,0.0054,0.005,0.351,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.28,0,101.3708,no,unknown,unknown,unknown,Unknown,-30.8329,13.1405,9.4219,0.0018,0.0046,0.4704,0.0239,0.0044,0.1946,0.1968,-0.4048,0.0837,0,0.0002,0.1852,0.0001,0.7992,0.0057,0.0002,0,0.0172,0.0064,0.0011,0.0171,0.1978,94.357,85.4695,0.0104,0.0003,0.0019,0.0047,0.0043,0.3476,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.36,0,101.1407,no,unknown,unknown,unknown,Unknown,-31.0158,12.9185,9.7215,0.0018,0.0046,0.4695,0.0239,0.0044,0.1946,0.1968,-0.3972,0.0836,0,0.0002,0.1862,0.0001,0.7839,0.0057,0.0002,0,0.0177,0.0067,0.0011,0.0173,0.2002,96.2186,86.0121,0.0112,0.0003,0.002,0.0047,0.0044,0.3469,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.44,0,102.3459,no,unknown,unknown,unknown,Unknown,-30.9386,12.9776,9.3188,0.0018,0.0046,0.4722,0.0239,0.0044,0.1948,0.1966,-0.4198,0.0839,0,0.0002,0.2084,0.0001,0.829,0.0059,0.0002,0,0.018,0.0064,0.0011,0.0181,0.1917,87.2523,85.8693,0.0108,0.0002,0.0018,0.0045,0.0041,0.3328,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.52,0,101.2983,no,unknown,unknown,unknown,Unknown,-31.5557,12.845,10.2039,0.0018,0.0046,0.4713,0.0239,0.0044,0.1952,0.1966,-0.4126,0.0838,0,0.0002,0.2405,0.0001,0.8142,0.0057,0.0002,0,0.0203,0.0074,0.0009,0.0206,0.1926,91.16,86.188,0.0094,0.0002,0.0016,0.0042,0.0041,0.3307,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
